;eV;e1;e2
0;9.6;-1.978;2.4095
1;9.58;-1.9669;2.4363
2;9.56;-1.9645;2.4652
3;9.54;-1.9675;2.4957
4;9.52;-1.9741;2.5279
5;9.5;-1.9828;2.5613
6;9.48;-1.9927;2.5958
7;9.46;-2.0033;2.6308
8;9.44;-2.014;2.6665
9;9.42;-2.0247;2.7023
10;9.4;-2.0351;2.738
11;9.38;2.0453;2.7733
12;9.36;-2.0552;2.8083
13;9.34;-2.065;2.8427
14;9.32;-2.075;2.8765
15;9.3;-2.0851;2.9093
16;9.28;-2.0957;2.9415
17;9.26;-2.107;2.9731
18;9.24;-2.1193;3.0041
19;9.22;-2.1326;3.0348
20;9.2;-2.1472;3.0653
21;9.18;-2.1631;3.0959
22;9.16;-2.1805;3.1268
23;9.14;-2.1994;3.1586
24;9.12;-2.2196;3.1911
25;9.1;-2.2413;3.225
26;9.08;-2.2641;3.2603
27;9.06;-2.2881;3.2974
28;9.04;-2.3129;3.3361
29;9.02;-2.3384;3.377
30;9.0;-2.3645;3.4199
31;8.98;-2.3909;3.4649
32;8.96;-2.4175;3.5122
33;8.94;-2.4442;3.5617
34;8.92;-2.4709;3.6135
35;8.9;-2.4973;3.6676
36;8.88;-2.5235;3.7242
37;8.86;-2.5493;3.7833
38;8.84;-2.5746;3.845
39;8.82;-2.5992;3.9093
40;8.8;-2.6231;3.9767
41;8.78;-2.646;4.0471
42;8.76;-2.6676;4.1209
43;8.74;-2.6875;4.198
44;8.72;-2.7053;4.2785
45;8.7;-2.7206;4.3624
46;8.68;-2.7329;4.45
47;8.66;-2.7416;4.5412
48;8.64;-2.7462;4.6352
49;8.62;-2.7461;4.7323
50;8.6;-2.7408;4.8322
51;8.58;-2.7296;4.9338
52;8.56;-2.7123;5.0367
53;8.54;-2.6885;5.1403
54;8.52;-2.6578;5.244
55;8.5;-2.6204;5.346
56;8.48;-2.5759;5.4467
57;8.46;-2.525;5.5439
58;8.44;-2.4676;5.6379
59;8.42;-2.4047;5.7268
60;8.4;-2.3364;5.8108
61;8.38;-2.2637;5.8887
62;8.36;-2.1877;5.96
63;8.34;-2.1089;6.0245
64;8.32;-2.0287;6.0819
65;8.3;-1.9478;6.1323
66;8.28;-1.8671;6.1758
67;8.26;-1.7878;6.2126
68;8.24;-1.7106;6.2431
69;8.22;-1.6364;6.2678
70;8.2;-1.5657;6.2874
71;8.18;-1.4991;6.3027
72;8.16;-1.4369;6.3143
73;8.14;-1.3797;6.323
74;8.12;-1.3275;6.3297
75;8.1;-1.2801;6.335
76;8.08;-1.2377;6.3398
77;8.06;-1.2001;6.3448
78;8.04;-1.1671;6.3505
79;8.02;-1.1382;6.3577
80;8.0;-1.1132;6.3667
81;7.98;-1.0915;6.378
82;7.96;-1.0728;6.392
83;7.94;-1.0562;6.4089
84;7.92;-1.0418;6.4286
85;7.9;-1.029;6.4515
86;7.88;-1.0176;6.4775
87;7.86;-1.0072;6.507
88;7.84;-0.99738;6.54
89;7.82;-0.98781;6.5765
90;7.8;-0.97805;6.6166
91;7.78;-0.96781;6.6603
92;7.76;-0.95669;6.7076
93;7.74;-0.94429;6.7586
94;7.72;-0.93032;6.8131
95;7.7;-0.91436;6.8711
96;7.68;-0.89605;6.9325
97;7.66;-0.875;6.9972
98;7.64;-0.85079;7.0653
99;7.62;-0.82294;7.1366
100;7.6;-0.79114;7.2106
101;7.58;-0.75487;7.2874
102;7.56;-0.71355;7.3667
103;7.54;-0.66689;7.448
104;7.52;-0.61417;7.5311
105;7.5;-0.55501;7.6153
106;7.48;-0.48911;7.6999
107;7.46;-0.41551;7.7847
108;7.44;-0.33437;7.8684
109;7.42;-0.24524;7.9501
110;7.4;-0.14772;8.029
111;7.38;-0.042013;8.1037
112;7.36;0.071715;8.1732
113;7.34;0.19338;8.2362
114;7.32;0.32211;8.2913
115;7.3;0.45708;8.3375
116;7.28;0.59723;8.3736
117;7.26;0.74161;8.3988
118;7.24;0.88846;8.4122
119;7.22;1.0365;8.4134
120;7.2;1.1837;8.4022
121;7.18;1.3282;8.3788
122;7.16;1.4689;8.3433
123;7.14;1.6036;8.2967
124;7.12;1.7312;8.2398
125;7.1;1.8506;8.1738
126;7.08;1.9603;8.1001
127;7.06;2.0596;8.0203
128;7.04;2.1485;7.9358
129;7.02;2.2265;7.8481
130;7.0;2.2938;7.759
131;6.98;2.3507;7.6695
132;6.96;2.3977;7.581
133;6.94;2.4355;7.4948
134;6.92;2.4649;7.4114
135;6.9;2.4868;7.3318
136;6.88;2.5019;7.2564
137;6.86;2.5113;7.1854
138;6.84;2.5157;7.1194
139;6.82;2.5159;7.0581
140;6.8;2.5126;7.0016
141;6.78;2.5065;6.9498
142;6.76;2.498;6.9026
143;6.74;2.4877;6.8596
144;6.72;2.4758;6.8207
145;6.7;2.4628;6.7857
146;6.68;2.4489;6.7542
147;6.66;2.4341;6.7262
148;6.64;2.4188;6.7014
149;6.62;2.4029;6.6795
150;6.6;2.3866;6.6605
151;6.58;2.3699;6.6443
152;6.56;2.3528;6.6307
153;6.54;2.3355;6.6197
154;6.52;2.3179;6.6112
155;6.5;2.3001;6.6053
156;6.48;2.2821;6.6017
157;6.46;2.2641;6.6007
158;6.44;2.246;6.602
159;6.42;2.2281;6.6058
160;6.4;2.2102;6.6121
161;6.38;2.1927;6.6207
162;6.36;2.1755;6.6316
163;6.34;2.1589;6.6449
164;6.32;2.1428;6.6604
165;6.3;2.1274;6.6781
166;6.28;2.1129;6.6979
167;6.26;2.0993;6.7196
168;6.24;2.0866;6.7432
169;6.22;2.0749;6.7685
170;6.2;2.0643;6.7953
171;6.18;2.0547;6.8235
172;6.16;2.046;6.853
173;6.14;2.0383;6.8836
174;6.12;2.0313;6.9153
175;6.1;2.0251;6.9479
176;6.08;2.0194;6.9814
177;6.06;2.014;7.0158
178;6.04;2.0088;7.0511
179;6.02;2.0036;7.0873
180;6.0;1.9982;7.1246
181;5.98;1.9924;7.1632
182;5.96;1.9861;7.2032
183;5.94;1.9791;7.2448
184;5.92;1.9714;7.2885
185;5.9;1.9629;7.3346
186;5.88;1.9536;7.3833
187;5.86;1.9437;7.4353
188;5.84;1.9333;7.4906
189;5.82;1.9225;7.55
190;5.8;1.9117;7.6135
191;5.78;1.9013;7.6819
192;5.76;1.8917;7.7551
193;5.74;1.8833;7.8338
194;5.72;1.8768;7.9179
195;5.7;1.8728;8.0077
196;5.68;1.8719;8.1032
197;5.66;1.8748;8.2046
198;5.64;1.8823;8.3117
199;5.62;1.8949;8.4243
200;5.6;1.9135;8.5422
201;5.58;1.9388;8.6648
202;5.56;1.9713;8.792
203;5.54;2.0119;8.9232
204;5.52;2.0608;9.0575
205;5.5;2.1188;9.1944
206;5.48;2.1863;9.3332
207;5.46;2.2635;9.4728
208;5.44;2.3507;9.6126
209;5.42;2.448;9.7514
210;5.4;2.5554;9.8884
211;5.38;2.6728;10.023
212;5.36;2.8001;10.153
213;5.34;2.9365;10.279
214;5.32;3.0821;10.4
215;5.3;3.2359;10.514
216;5.28;3.3974;10.622
217;5.26;3.5656;10.722
218;5.24;3.7397;10.815
219;5.22;3.9193;10.9
220;5.2;4.1032;10.977
221;5.19;4.1968;11.012
222;5.18;4.2911;11.046
223;5.17;4.3863;11.077
224;5.16;4.4821;11.107
225;5.15;4.5787;11.135
226;5.14;4.676;11.161
227;5.13;4.774;11.185
228;5.12;4.8724;11.208
229;5.11;4.9715;11.228
230;5.1;5.071;11.247
231;5.09;5.1714;11.264
232;5.08;5.2721;11.28
233;5.07;5.3735;11.293
234;5.06;5.4752;11.305
235;5.05;5.5774;11.315
236;5.04;5.6803;11.323
237;5.03;5.7836;11.33
238;5.02;5.8875;11.334
239;5.01;5.9917;11.336
240;5.0;6.0965;11.337
241;4.99;6.2015;11.335
242;4.98;6.3067;11.331
243;4.97;6.4123;11.325
244;4.96;6.5178;11.317
245;4.95;6.6236;11.307
246;4.94;6.7291;11.294
247;4.93;6.8348;11.279
248;4.92;6.94;11.261
249;4.91;7.0449;11.242
250;4.9;7.1494;11.22
251;4.89;7.2532;11.195
252;4.88;7.3564;11.169
253;4.87;7.4588;11.14
254;4.86;7.5603;11.108
255;4.85;7.6607;11.075
256;4.84;7.76;11.04
257;4.83;7.858;11.002
258;4.82;7.9546;10.963
259;4.81;8.0498;10.921
260;4.8;8.1434;10.878
261;4.79;8.2353;10.833
262;4.78;8.3257;10.787
263;4.77;8.414;10.739
264;4.76;8.5005;10.69
265;4.75;8.5852;10.639
266;4.74;8.6678;10.587
267;4.73;8.7482;10.535
268;4.72;8.8268;10.482
269;4.71;8.9031;10.428
270;4.7;8.9772;10.373
271;4.69;9.0493;10.319
272;4.68;9.1191;10.264
273;4.67;9.1868;10.209
274;4.66;9.2523;10.155
275;4.65;9.3157;10.101
276;4.64;9.3772;10.047
277;4.63;9.4367;9.9948
278;4.62;9.4945;9.9435
279;4.61;9.5482;9.8934
280;4.6;9.6025;9.845
281;4.59;9.6553;9.7984
282;4.58;9.7071;9.7536
283;4.57;9.7579;9.7111
284;4.56;9.8082;9.6709
285;4.55;9.8582;9.6333
286;4.54;9.9082;9.5983
287;4.53;9.9587;9.566
288;4.52;10.01;9.5365
289;4.51;10.063;9.5099
290;4.5;10.118;9.4861
291;4.49;10.175;9.4649
292;4.48;10.235;9.4463
293;4.47;10.298;9.4298
294;4.46;10.365;9.4153
295;4.45;10.437;9.4023
296;4.44;10.513;9.3903
297;4.43;10.595;9.3788
298;4.42;10.683;9.3671
299;4.41;10.776;9.3544
300;4.4;10.876;9.34
301;4.39;10.981;9.3231
302;4.38;11.093;9.3028
303;4.37;11.211;9.2782
304;4.36;11.335;9.2484
305;4.35;11.464;9.2125
306;4.34;11.598;9.1697
307;4.33;11.736;9.1193
308;4.32;11.877;9.0604
309;4.31;12.021;8.9927
310;4.3;12.167;8.9154
311;4.29;12.314;8.8284
312;4.28;12.459;8.7313
313;4.27;12.604;8.624
314;4.26;12.745;8.507
315;4.25;12.883;8.3799
316;4.24;13.017;8.2434
317;4.23;13.144;8.098
318;4.22;13.265;7.9445
319;4.21;13.378;7.7832
